Academic Item,Title,Version Number,Status,Owning Faculty,Academic Org,Display Name,Teaching Period,Attendance Mode,Location,Quota Number
COMP6300,Applied Cryptography,2023.02,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYC8992,Clinical Psychology Research Dissertation Part 2,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-INF-North Ryde,Session 2,In person-scheduled-infrequent,North Ryde,
AHIS3000,Capstone in Ancient History and Archaeology,2023.02,Approved,Faculty of Arts,Department of History and Archaeology,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MQBS8010,Research Frontiers in Business and Economics,2023.03,Approved,Macquarie Business School,Owned at Faculty level,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,20
ENVS3463,PACE: Environmental Management Project,2023.04,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
COGS3050,Core Problems in Cognitive Science,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MCMP6200,Data Science,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,ONL-S-DAY,,Online-scheduled-weekday,,
PHYS1020,Electric and Magnetic Interactions,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
WACC1000,Accounting in Society,2023.03,Approved,Macquarie University College,Macquarie University College,MQUC Term 1-F2F-DAY-North Ryde,MQUC Term 1,In person-scheduled-weekday,North Ryde,
COMP3160,Artificial Intelligence,2023.04,Approved,Faculty of Science and Engineering,School of Computing,To be determined,To be determined,,,
AFIN3028,Financial Risk Management,2023.04,Approved,Macquarie Business School,Department of Applied Finance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MEDI2100,Musculoskeletal System,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MGMT2080,Application of Business Models,2023.03,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
COGS2000,Cognitive Neuroscience,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYX2248,Design and Statistics II,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,200
PICT8953,Simulation in Intelligence,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 1-ONL-FLX,Session 1,Online-flexible,,
ESPS2002,Exercise Testing and Prescription,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PHTY8201,Clinical Physiotherapy Placement II,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
SOCI8035,Qualitative Methods for Policy,2023.06,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,
COMP8325,Applications of Artificial Intelligence for Cyber Security,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MKTG8002,Marketing Communications,2023.03,Approved,Macquarie Business School,Department of Marketing ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CHIR6302,Medical Sciences A,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Chiropractic,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MKTO8220,Managing Customer Experience,2023.02,Approved,Macquarie Business School,Department of Marketing ,Term 2-ONL-S-DAY,Term 2,Online-scheduled-weekday,,
ACST8042,Long Term Actuarial Modelling,2023.02,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ENGX8026,Developing the novel or novella,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
COMP6400,"Intelligent Machines, Ethics and Law",2023.03,Approved,Faculty of Science and Engineering,School of Computing,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
APPL8015,"Phonology, Graphology and Teaching Pronunciation",2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
LAWS1000,Foundations of Law,2023.06,Approved,Faculty of Arts,Macquarie Law School ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CIVL1001,Introduction to Civil Engineering,2023.04,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ENGL3007,Publishing poetry and short stories,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PHIL3056,Contemporary Topics in Philosophy and Ethics,2023.01,Approved,Faculty of Arts,Department of Philosophy ,Session 2-ONL-FLX,Session 2,Online-flexible,,
MEDI3900,Research Experience and Training,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,30
PSYN8849,Clinical Neuropsychology Practical Placement I,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Full year 1-F2F-PLACE-North Ryde,Full year 1,In person-placement,North Ryde,
MMCC1025,Screenwriting,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ENGL8022,"Short Form Writing - short story, novella, poetry cycle",2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
CHEM2201,Analysis and Measurement,2023.03,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MGMT2016,Business Demographics,2023.01,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PHIL3063,Consciousness and Self,2023.02,Approved,Faculty of Arts,Department of Philosophy ,Session 1-ONL-FLX,Session 1,Online-flexible,,
COMP6102,Algorithm Theory and Design,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MMCC3032,Music at the Limits: Experimentation and Innovation,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ENGG1050,Engineering Design,2023.03,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CHIR1101,Chiropractic Sciences 1,2023.06,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Chiropractic,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MATH3599,PACE: Professional Practice for Mathematical Sciences,2023.03,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
EDST8990,Master of Research - Educational Studies,2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
GEND1000,Freedom Dreams: Foundations in Gender Studies,2023.02,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-ONL-FLX,Session 1,Online-flexible,,
ACST8043,Short Term Actuarial Modelling,2023.02,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PSYC8981,Clinical Psychology Practical Placement 1,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-PLACE-North Ryde,Session 1,In person-placement,North Ryde,
PHYS2010,Classical and Quantum Oscillations and Waves,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ACCG6014,Business and Company Law,2023.05,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYU2201,Counselling Approaches and Principles,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MEDI2005,Human Health and Disease Processes,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYO8919,Training in Organisations,2023.04,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
STAT7900,Research Frontiers in Statistics,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ENVS8544,Sustainability Consultancy Work Practice,2023.01R,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PICT8000,Leadership and Strategic Decision Making,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 2-ONL-FLX,Session 2,Online-flexible,,
BIOL1320,Biological Basis of Behaviour,2023.05,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
TELE8882,Cloud Networks,2023.02,Approved,Faculty of Science and Engineering,School of Engineering,To be determined,To be determined,,,
STAT8612,Longitudinal and Correlated Data,2023.02,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,To be determined,To be determined,,,
EDST4010,Practice of Teaching: ICT in the Secondary School,2023.02,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
PHYS1520,Physics for Electrical and Electronic Engineering,2023.02,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ANAT1002,Anatomy of Limbs and Back,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Chiropractic,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ECHE2200,Early Years Curriculum and Pedagogy in the Australian Context,2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
ECHE4310,Teaching and Learning Mathematics,2023.03,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
