Academic Item,Title,Version Number,Status,Owning Faculty,Academic Org,Display Name,Teaching Period,Attendance Mode,Location,Quota Number
MMBA8014,FinTech and Innovation,2023.02,Approved,Macquarie Business School,Department of Applied Finance ,Term 2-ONL-S-DAY,Term 2,Online-scheduled-weekday,,
COMP3300,Data Privacy and Information Security,2023.03,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
COMP6013,Introduction to Cyber Security,2023.02,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CROA3010,I Croatian Studies 5,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
APPL7400,Advanced Topics in Language for Specific Purposes,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PHTY3000,Exercise Physiology,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
FOAR7003,Digital Literacies for Researchers,2023.02,Approved,Faculty of Arts,Owned at Faculty level,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MKTG8033,Social Media Marketing,2023.05,Approved,Macquarie Business School,Department of Marketing ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
EDST8200,Introduction to Professional Practice and Research,2023.03,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
BIOL8601,Biology Research Placement,2023.01R,Approved,Faculty of Science and Engineering,School of Natural Sciences,Full year 1-F2F-PLACE-On location,Full year 1,In person-placement,On location,
