,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,CIVL1001,CIVL2101,CIVL2201,CIVL2205,CIVL2301,CIVL3101,CIVL3201,CIVL3301,CIVL3305,CIVL3401,CIVL4090,CIVL4091,CIVL4201,CIVL4301,CIVL4401,COMP1000,ENGG1000,ENGG1050,ENGG2000,ENGG2050,ENGG3000,ENGG3050,ENGG4001,MATH1010,MATH1020,MATH2055,MECH2002,PHYS1510,CIVL1001#,CIVL3101!,CIVL3201!,CIVL3301!,CIVL3305!,CIVL3401!,CIVL4090#,CIVL4090#1,CIVL4090#11,CIVL4090#11,CIVL4091!,CIVL4301#,CIVL4301#1,CIVL4401!,ENGG2050#,MATH1020#,MATH2055#,MECH2002#,MECH2002#1,MECH2002#11
1,CIVL1001,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,1,0
2,CIVL2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
3,CIVL2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
4,CIVL2205,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
5,CIVL2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
6,CIVL3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
7,CIVL3201,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0,0.076923076,0.076923076,0.076923076,0,0,1,0,0,0,0,0.047619047,0,0,0,0,0,0
8,CIVL3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0,0.076923076,0.076923076,0,1,0,0,0,1,0,0.047619047,0,0,0,0,0,0
9,CIVL3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0,0.076923076,1,0,0,0,0,0,1,0.047619047,0,0,0,0,0,0
10,CIVL3401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
11,CIVL4090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0.5,0,0,0.047619047,0,0,0,0,0,0
